1) [3 5 11 14]; [4 11 13 15]
2) [2 5 10 13]; [5 11 16 19]
3) [3 8 13 17]; [2 10 14 19]
4) [6 8 12 20]; [3 10 14 18]
5) [9 14 16 19]; [2 4 7 11]
6) [1 4 13 20]; [4 6 11 18]
7) [4 8 11 16]; [5 12 15 18]
8) [2 4 9 13]; [6 12 15 17]
9) [6 8 15 19]; [1 6 10 15]
10) [3 5 7 12]; [6 10 12 16]
11) [1 5 8 17]; [8 12 16 19]
12) [9 13 17 19]; [3 7 9 15]
13) [2 7 14 18]; [1 7 10 18]
14) [1 14 17 20]; [1 3 18 20]
15) [7 9 16 20]; [2 9 17 20]

1) [3 6 8 11]; [3 7 10 14]
2) [8 12 17 19]; [2 11 13 15]
3) [6 11 15 18]; [2 5 13 19]
4) [2 5 10 18]; [2 5 8 17]
5) [5 7 13 16]; [4 7 12 15]
6) [3 13 17 20]; [6 11 14 16]
7) [2 5 15 20]; [2 4 13 20]
8) [3 6 13 16]; [5 9 18 20]
9) [4 6 9 11]; [9 12 14 20]
10) [4 11 14 17]; [10 12 15 20]
11) [3 8 16 19]; [1 12 14 18]
12) [3 10 17 19]; [1 7 9 19]
13) [1 6 10 12]; [1 8 15 18]
14) [1 8 10 19]; [1 4 7 17]
15) [4 9 14 16]; [7 9 16 18]

1) [4 11 13 15]; [4 9 12 16]
2) [6 12 18 20]; [2 14 17 20]
3) [5 16 18 20]; [2 5 12 20]
4) [7 9 17 19]; [3 8 13 16]
5) [2 5 9 13]; [8 13 15 18]
6) [2 6 10 16]; [8 14 16 18]
7) [5 7 11 16]; [3 7 10 14]
8) [2 6 13 18]; [1 5 8 13]
9) [6 12 17 19]; [4 9 17 20]
10) [3 10 12 19]; [1 6 10 20]
11) [1 4 6 11]; [1 8 11 15]
12) [5 10 12 17]; [1 4 8 17]
13) [3 10 15 18]; [2 4 14 19]
14) [3 9 11 14]; [3 7 15 19]
15) [1 7 14 19]; [7 9 11 15]
